file,Soil ochre weight /g,wavelength,absorbance,date,phosphorous_loading_conc,repeat_no,p_level,iron_ochre_amendement_percent,p_adjust,PO4mgL,PO4_removed ,mass_normalised,PO4_removed_p,normal_percent
010925-5%-0mg-2.txt,1.9964,880,0.02630851,10925,0,2,-0.033515419,5,-0.033515419,0.02630851,-0.02630851,NA,NA,NA
010925-5%-0mg-3.txt,1.998,880,0.022741903,10925,0,3,-0.035912893,5,-0.035912893,0.022741903,-0.022741903,NA,NA,NA
010925-5%-5mg-1.txt,2.0065,880,0.016319145,10925,5,1,-0.040230271,5,-0.402302707,-0.522318815,5.522318815,0.005504429,110.4463763,110.0885884
010925-5%-5mg-2.txt,2.0016,880,0.031985602,10925,5,2,-0.029699278,5,-0.296992781,-0.365654242,5.365654242,0.005361365,107.3130848,107.227303
010925-5%-5mg-3.txt,2.006,880,0.020335986,10925,5,3,-0.03753015,5,-0.375301499,-0.4821504,5.4821504,0.005465753,109.643008,109.3150628
010925-5%-10mg-1.txt,1.9992,880,0.079956489,10925,10,1,0.002546752,5,0.025467518,0.114054624,9.885945376,0.009889901,98.85945376,98.89901337
010925-5%-10mg-2.txt,1.9983,880,0.097963018,10925,10,2,0.014650741,5,0.146507405,0.294119913,9.705880087,0.009714137,97.05880087,97.14137104
010925-5%-10mg-3.txt,2.0001,880,0.078686562,10925,10,3,0.001693107,5,0.016931071,0.101355357,9.898644643,0.00989815,98.98644643,98.98149736
010925-5%-20mg-1.txt,2.002,880,0.161714193,10925,20,1,0.057504281,5,1.150085611,1.787095523,18.21290448,0.01819471,91.06452238,90.97354885
010925-5%-20mg-2.txt,1.999,880,0.139156996,10925,20,2,0.042341333,5,0.846826657,1.335951588,18.66404841,0.018673385,93.32024206,93.36692551
010925-5%-20mg-3.txt,2.001,880,0.132487796,10925,20,3,0.037858296,5,0.757165923,1.202567574,18.79743243,0.018788038,93.98716213,93.94019205
010925-5%-40mg-1.txt,2.001,880,0.169008658,10925,40,1,0.06240762,5,2.496304805,3.789801852,36.21019815,0.036192102,90.52549537,90.48025525
010925-5%-40mg-2.txt,2.003,880,0.061135607,10925,40,2,-0.010104645,5,-0.404185812,-0.52512022,40.52512022,0.040464424,101.3128005,101.161059
010925-5%-40mg-3.txt,1.999,880,0.160175347,10925,40,3,0.056469868,5,2.258794726,3.436469394,36.56353061,0.036581822,91.40882652,91.4545538
